Location,Reviews,Rating
KFC 203 W 125th St,110,3.6
KFC 242 E 14th St,1218,3.4
KFC 275 Canal Street,39,2.8
KFC 3645 Broadway,472,3.5
KFC 408 8th Avenue,114,3.2
KFC 4250 Broadway,19,2.5
KFC 707 Lenox Ave,553,3.4
KFC 10501 W Pico Blvd,289,3.7
KFC 1148 W Manchester Ave,824,3.6
KFC 11864 Wilmington Ave,436,3.7
KFC 11900 Wilshire Blvd,388,3.8
KFC 1244 S. La Brea Ave,253,3.7
KFC 126 Vermont Avenue,315,3.2
KFC 1425 West Martin Luther King Boulevard,488,3.8
KFC 1601 Crenshaw Blvd,221,3.5
KFC 2801 North Broadway,432,3.8
KFC 2801 West Olympic Boulevard,643,3.8
KFC 2809 South Figueroa,265,3.9
KFC 320 North Soto,325,3.7
KFC 340 North Western Avenue,797,3.7
KFC 4270 South Central Ave,199,3.5
KFC 5130 Obama Blvd,378,3.7
KFC 5220 W Centinela Ave,601,3.6
KFC 5720 S. Vermont Avenue,498,3.6
KFC 5811 Whittier Blvd,493,3.8
KFC 5925 West Third Street,505,3.8
KFC 624 South Lorena,330,4
KFC 8500 Lincoln Blvd,554,3.4
KFC 8515 S. Central Ave,691,3.3
KFC 10200 S. Halsted Street,645,3.7
KFC 10421 South Western Avenue,638,3.6
KFC 10556 South Indianapolis,361,3.7
KFC 1144 S. Western Avenue,1005,3.7
KFC 1617 E. 95th Street,512,3.6
KFC 2807 W Irving Park Rd,358,2.7
KFC 300 East 35th Street,590,3.2
KFC 3357 W. Peterson Avenue,651,3.9
KFC 3536 North Cicero Avenue,548,3.3
KFC 3696 S. Archer Avenue,539,3.5
KFC 3927 N Harlem Ave,484,2.9
KFC 4200 W 55th St,509,3.3
KFC 4715 W. Fullerton Ave,757,3.5
KFC 4804 N. Sheridan Road,299,3.5
KFC 5230 W. Madison Street,367,3.4
KFC 5852 S. Western Avenue,673,3.6
KFC 6034 W. North Avenue,453,3.6
KFC 6040 S Archer Ave,359,3.7
KFC 6732 North Western Avenue,683,3.6
KFC 7445 S Stony Island Ave,728,3.5
KFC 7508 S. Lafayette Avenue,704,3.4
KFC 8307 S. King Drive,493,3.5
KFC 10535 Gulf Freeway,465,3.7
KFC 10934 Cypress Creek Pkwy,297,3.3
KFC 11030 Louetta Road,592,3.3
KFC 11791 S. Sam Houston Parkway East,418,3
KFC 12499 Westheimer Rd,723,3.7
KFC 1300 Gulfgate Center Mall,300,3
KFC 14127 State Highway 249,422,2.9
KFC 1423 Cypress Creek Pkwy,534,3.2
KFC 14490 Memorial Dr,307,3.4
KFC 1526 North Loop W,533,3.5
KFC 15327 Wallisville Road,229,3.8
KFC 1945 El Dorado Blvd,409,3.6
KFC 19740 Saums Road,630,2.9
KFC 2701 Yale Street,381,3.3
KFC 2767 Gessner Drive,559,3.3
KFC 3619 Old Spanish Trail,607,3.2
KFC 4044 W. Fuqua St,415,3.2
KFC 4317 Lockwood Drive,209,2.8
KFC 4435 Cypress Creek Pkwy,617,3.3
KFC 5010 Aldine Mail Rd,555,3.3
KFC 6050 Hillcroft Avenue,482,3.5
KFC 611 W. Little York Road,632,3.6
KFC 6420 Westheimer Road,512,3.3
KFC 6904 Highway 6 N,812,3.3
KFC 7195 Hwy 6 South,495,3.3
KFC 7750 W. Tidwell Rd,572,3.3
KFC 7904 Long Point Road,240,3.3
KFC 8787 Tidwell Rd,390,3.2
KFC 9011 W Sam Houston Parkway N,252,2.8
KFC 919 Federal Rd,170,3.2
KFC 9227 Cullen Blvd,577,3.5
KFC 95 E Crosstimbers Street,479,3.3
KFC 9510 Main Street,659,2.9
KFC 9922 Beechnut St,557,3.6
KFC 1525 N 43rd Ave,563,3.2
KFC 1749 W. Bethany Home Rd,848,3.3
KFC 1843 West Union Hills Dr,864,3.2
KFC 20 E Baseline Road,740,3.1
KFC 2902 N 7th Ave,843,3.3
KFC 3550 W Thunderbird Rd,788,3.2
KFC 3702 E Thomas Rd,802,3.1
KFC 4050 East Bell Road,682,3.4
KFC 7634 W Indian School Rd,823,3.1
KFC 11719 Alamo Ranch Parkway,129,3.4
KFC 12050 Blanco Road,213,3.4
KFC 12530 SW Loop 410,11,2.3
KFC 14076 Nacogdoches Road,332,3.3
KFC 1602 Loop 1604 E,268,3.3
KFC 2110 Goliad Rd,989,3.8
KFC 2510 S.W. Military Drive,1142,4
KFC 2907 Thousand Oaks Drive,327,3.7
KFC 3213 Wurzbach Rd,247,3.6
KFC 4711 W. Commerce St,552,3.9
KFC 5109 Walzem Road,462,3.7
KFC 5211 De Zavala,352,3.6
KFC 5315 Rigsby Avenue,535,3.5
KFC 6635 FM 78,338,3.3
"KFC 6807 Military Drive, W",496,3.8
KFC 7009 San Pedro Avenue,543,3.6
KFC 8270 Marbach Rd,866,3.9
KFC 8280 Bandera Rd,637,3.9
KFC 8510 Fredericksburg Rd,715,3.8
KFC 8727 Perrin Beitel,460,3.4
KFC 8827 SW Loop 410,72,3.6
KFC 9160 Grissom Road,578,3.4
KFC 1200 N Broad St,643,3.1
KFC 161 W Chelten Ave,364,2.9
KFC 177 W Allegheny Ave,633,3.5
KFC 2422 W Passyunk Avenue,468,3.5
KFC 2875 W Dauphin St,584,3.2
KFC 3032 North Broad St,678,3.1
KFC 3655 Aramingo Ave,958,3.6
KFC 4001 N 5th St,267,3.3
KFC 411 W. Oregon Ave,451,3.5
KFC 527 Franklin Mills Circle,562,3.1
KFC 5700 Baltimore Ave,1078,3.1
KFC 5840 Old York Rd,246,3.3
KFC 6114 Lancaster Ave,884,3.2
KFC 6240 Stenton Avenue,401,3.5
KFC 6417 Harbison Ave,1284,3.3
KFC 716 Adams Ave,633,3.5
KFC 7350 Oxford Avenue,427,3.3
KFC 9201 Roosevelt Blvd,225,3.1
